Indicator,Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCSCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS,billion US$2010/yr,0.51055312,0.060273248,0.000534688,0.000000224,0.00000347,0.0000084,0.0000168,0.0000204,0.0000604,0.000100464,0.0000502,0,0.064191232,0.128382464,1.03262964,1.936876816
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCSDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS,billion US$2010/yr,0.51055312,0.060273248,0.000534688,0.000000784,0.00000302,0.0000084,0.0000168,0.0000204,0.0000604,0.000100464,0.0000502,0,0,0,0,0
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCSFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS,billion US$2010/yr,0.51055312,0.060273248,0.000535024,0.000000224,0.00000403,0.00000773,0.0000168,0.0000204,0.0000604,0.000100464,0.0000502,0,0.198812096,0.397624192,1.085523432,1.773422672
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCSLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS,billion US$2010/yr,0.01684256,0.000232288,0.0005348,0.000000784,0.00000302,0.0000084,0.0000176,0.0000222,0.000144872,0.000267568,0.000133784,0,0,0,0,0
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCSNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS,billion US$2010/yr,0.170366448,0.010743152,0.0005348,0.000000784,0.00000302,0.0000084,0.0000176,0.0000936,0.000116256,0.00013888,0.0000694,0,0,0,0,0
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCSNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS,billion US$2010/yr,0.01684256,0.000232288,0.0005348,0.000000784,0.00000302,0.0000084,0.0000176,0.0000222,0.000144872,0.000267568,0.000133784,0,0,0,0,0
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2030Below 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2030,billion US$2010/yr,0.088110437,0.088110437,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2030Current Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2030,billion US$2010/yr,0.252450128,0.252450128,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2030Delayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2030,billion US$2010/yr,0.252450128,0.252450128,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2030Fragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2030,billion US$2010/yr,0.252450128,0.252450128,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2030Low demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2030,billion US$2010/yr,0.067866288,0.067866288,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2030Nationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2030,billion US$2010/yr,0.122544539,0.122544539,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2030Net Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2030,billion US$2010/yr,0.067866288,0.067866288,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2050Below 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2050,billion US$2010/yr,0.03783976,0.03783976,0.03783976,0.03783976,0.03783976,0.03783976,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2050Current Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2050,billion US$2010/yr,0.108271024,0.108271024,0.108271024,0.108271024,0.108271024,0.108271024,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2050Delayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2050,billion US$2010/yr,0.10827104,0.10827104,0.10827104,0.10827104,0.10827104,0.10827104,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2050Fragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2050,billion US$2010/yr,0.108271056,0.108271056,0.108271056,0.108271056,0.108271056,0.108271056,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2050Low demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2050,billion US$2010/yr,0.029163696,0.029163696,0.029163696,0.029163696,0.029163696,0.029163696,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2050Nationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2050,billion US$2010/yr,0.052597232,0.052597232,0.052597232,0.052597232,0.052597232,0.052597232,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2050Net Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/ CCS|Average 2016-2050,billion US$2010/yr,0.029163696,0.029163696,0.029163696,0.029163696,0.029163696,0.029163696,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCSBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS,billion US$2010/yr,64.36928019,28.64581451,2.267027952,0.000952448,0.00095536,0.000959392,0.060046112,0.133364,0.114704352,0.096044704,0.048061944,0.0000792,0.0000396,0,0,0
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCSCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS,billion US$2010/yr,68.4487039,36.72364573,11.1058061,1.979453504,0.741089888,0.251592768,0.10957464,0.044097536,0.033153288,0.02220904,0.011105864,0.00000269,0.00000134,0,0,0
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCSDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS,billion US$2010/yr,68.4487039,36.72364573,12.78571123,2.805407584,0.00095536,0.025983552,0.122231984,0.1664628,0.138541984,0.110621168,0.055393128,0.000165088,0.0000825,0,0,0
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCSFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS,billion US$2010/yr,68.4487039,36.72364573,10.50677958,1.60748,0.11876816,0.000959392,0.032084416,0.077910224,0.071712032,0.06551384,0.03277232,0.0000308,0.0000154,0,0,0
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCSLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS,billion US$2010/yr,60.67312328,21.1725743,0.322874832,0.000951216,0.001198512,0.02599016,0.17671808,0.250814704,0.203652008,0.156489312,0.078332128,0.000174944,0.0000875,0,0,0
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCSNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS,billion US$2010/yr,63.84134355,29.97499434,2.29315968,0.290013248,0.005779536,0.025774448,0.12949272,0.106421616,0.110657904,0.114894192,0.057496768,0.0000993,0.0000497,0,0,0
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCSNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS,billion US$2010/yr,67.0010955,34.45669976,0.2137492,0.0019768,0.025996768,0.026902512,0.177162272,0.33091912,0.247790424,0.164661728,0.082452104,0.00024248,0.00012124,0,0,0
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2030Below 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2030,billion US$2010/yr,61.34424091,61.34424091,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2030Current Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2030,billion US$2010/yr,65.39665922,65.39665922,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2030Delayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2030,billion US$2010/yr,65.39665922,65.39665922,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2030Fragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2030,billion US$2010/yr,65.39665922,65.39665922,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2030Low demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2030,billion US$2010/yr,57.62110853,57.62110853,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2030Nationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2030,billion US$2010/yr,61.61132197,61.61132197,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2030Net Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2030,billion US$2010/yr,64.15847443,64.15847443,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2050Below 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2050,billion US$2010/yr,26.6146597,26.6146597,26.6146597,26.6146597,26.6146597,26.6146597,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2050Current Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2050,billion US$2010/yr,30.03827427,30.03827427,30.03827427,30.03827427,30.03827427,30.03827427,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2050Delayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2050,billion US$2010/yr,30.25829077,30.25829077,30.25829077,30.25829077,30.25829077,30.25829077,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2050Fragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2050,billion US$2010/yr,29.77485211,29.77485211,29.77485211,29.77485211,29.77485211,29.77485211,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2050Low demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2050,billion US$2010/yr,24.74490576,24.74490576,24.74490576,24.74490576,24.74490576,24.74490576,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2050Nationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2050,billion US$2010/yr,26.77838469,26.77838469,26.77838469,26.77838469,26.77838469,26.77838469,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2050Net Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Post-processed|Investment|Energy Supply|Electricity|Coal|w/o CCS|Average 2016-2050,billion US$2010/yr,27.53486408,27.53486408,27.53486408,27.53486408,27.53486408,27.53486408,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Electricity StorageBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage,billion US$2010/yr,35.21614432,169.5349011,332.495451,368.4670876,288.7332002,224.4864378,221.3741186,242.4561957,320.9028574,399.3495191,427.231929,455.114339,464.2207204,473.3271017,497.949555,522.5720083
Post-processed|Investment|Energy Supply|Electricity|Electricity StorageCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage,billion US$2010/yr,22.05069619,100.3653383,161.4594773,213.3007085,222.0486706,205.9926753,196.1761278,212.6560025,263.9407616,315.2255207,339.0772071,362.9288935,362.2348793,361.5408652,384.1940716,406.847278
Post-processed|Investment|Energy Supply|Electricity|Electricity StorageDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage,billion US$2010/yr,22.05069619,100.3653383,220.5396452,419.1832634,424.6824892,259.8958812,208.3084602,218.6859257,317.4744818,416.2630379,460.2660297,504.2690214,500.3100457,496.35107,537.3574093,578.3637487
Post-processed|Investment|Energy Supply|Electricity|Electricity StorageFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage,billion US$2010/yr,22.05069619,100.3653383,183.8901593,267.7277263,276.59785,239.0708765,219.5423296,224.9840613,281.2370956,337.4901299,364.8005243,392.1109186,390.8940431,389.6771676,414.4398064,439.2024451
Post-processed|Investment|Energy Supply|Electricity|Electricity StorageLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage,billion US$2010/yr,32.7937904,173.8354714,286.6454268,219.2273588,122.0153524,102.2438798,139.2709535,178.8411454,217.8656999,256.8902544,261.4303114,265.9703684,288.3017008,310.6330333,335.4628717,360.2927101
Post-processed|Investment|Energy Supply|Electricity|Electricity StorageNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage,billion US$2010/yr,37.83990381,178.0272728,318.1425109,305.3545123,255.2022958,224.0797212,224.0389805,244.6767728,301.8884007,359.1000286,380.8493954,402.5987623,416.7121035,430.8254448,447.2516482,463.6778516
Post-processed|Investment|Energy Supply|Electricity|Electricity StorageNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage,billion US$2010/yr,69.00466586,314.4564984,554.0031582,337.6244887,177.7081423,179.233011,258.273499,308.9325804,367.4668322,426.0010839,433.4197052,440.8383264,481.2356555,521.6329847,527.6166221,533.6002596
Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2030Below 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2030,billion US$2010/yr,68.82237395,68.82237395,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2030Current Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2030,billion US$2010/yr,41.37737031,41.37737031,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2030Delayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2030,billion US$2010/yr,41.37737031,41.37737031,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2030Fragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2030,billion US$2010/yr,41.37737031,41.37737031,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2030Low demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2030,billion US$2010/yr,69.44844607,69.44844607,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2030Nationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2030,billion US$2010/yr,72.527751,72.527751,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2030Net Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2030,billion US$2010/yr,128.3924136,128.3924136,,,,,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2050Below 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2050,billion US$2010/yr,202.9498998,202.9498998,202.9498998,202.9498998,202.9498998,202.9498998,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2050Current Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2050,billion US$2010/yr,132.4190918,132.4190918,132.4190918,132.4190918,132.4190918,132.4190918,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2050Delayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2050,billion US$2010/yr,206.9190557,206.9190557,206.9190557,206.9190557,206.9190557,206.9190557,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2050Fragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2050,billion US$2010/yr,155.9169604,155.9169604,155.9169604,155.9169604,155.9169604,155.9169604,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2050Low demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2050,billion US$2010/yr,134.0681937,134.0681937,134.0681937,134.0681937,134.0681937,134.0681937,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2050Nationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2050,billion US$2010/yr,188.6231847,188.6231847,188.6231847,188.6231847,188.6231847,188.6231847,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2050Net Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Post-processed|Investment|Energy Supply|Electricity|Electricity Storage|Average 2016-2050,billion US$2010/yr,233.3922916,233.3922916,233.3922916,233.3922916,233.3922916,233.3922916,,,,,,,,,,
Post-processed|Investment|Energy Supply|Electricity|FossilBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Post-processed|Investment|Energy Supply|Electricity|Fossil,billion US$2010/yr,112.7394532,67.86084346,40.8954709,41.11912627,32.04329296,23.04508214,14.67238528,11.34777862,11.1283195,10.90886037,12.93069422,14.95252808,12.75231087,10.55209366,7.04897788,3.545862096
Post-processed|Investment|Energy Supply|Electricity|FossilCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Post-processed|Investment|Energy Supply|Electricity|Fossil,billion US$2010/yr,118.9971341,90.91729181,65.73575075,46.5701339,30.75479982,22.93334579,21.3551921,22.5627332,29.02276524,35.48279728,37.04412113,38.60544498,31.41531876,24.22519254,18.34429313,12.46339371
Post-processed|Investment|Energy Supply|Electricity|FossilDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Post-processed|Investment|Energy Supply|Electricity|Fossil,billion US$2010/yr,118.9971341,90.91729181,65.2079465,40.62090883,25.56340696,18.02177574,13.97599426,12.95045069,15.51902346,18.08759624,14.30384105,10.52008586,7.183227464,3.846369072,2.0182526,0.190136128
Post-processed|Investment|Energy Supply|Electricity|FossilFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Post-processed|Investment|Energy Supply|Electricity|Fossil,billion US$2010/yr,118.9971341,90.91729181,68.99495221,47.26771874,30.17742515,23.91335072,19.42864773,18.1855035,21.78688708,25.38827066,29.38300518,33.3777397,30.28533234,27.19292498,21.58064378,15.96836259
Post-processed|Investment|Energy Supply|Electricity|FossilLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Post-processed|Investment|Energy Supply|Electricity|Fossil,billion US$2010/yr,99.0625244,44.06257789,12.90744806,3.874213952,0.701332688,0.197928976,0.230483456,0.464421664,2.208767568,3.953113472,7.950761952,11.94841043,9.23159356,6.514776688,3.404285976,0.293795264
Post-processed|Investment|Energy Supply|Electricity|FossilNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Post-processed|Investment|Energy Supply|Electricity|Fossil,billion US$2010/yr,111.0801487,74.63359602,43.77793571,35.20753253,25.73870779,22.63812712,19.80722386,19.57922366,26.96667775,34.35413184,39.92617922,45.49822659,40.20011173,34.90199686,22.41858069,9.935164512
Post-processed|Investment|Energy Supply|Electricity|FossilNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Post-processed|Investment|Energy Supply|Electricity|Fossil,billion US$2010/yr,111.3611281,63.6196475,9.33568328,1.304114448,0.054695312,0.084937328,0.227724896,0.4867604,0.450494632,0.414228864,0.207714528,0.001200192,0.000600096,0,0,0
Post-processed|Investment|Energy Supply|Electricity|Fossil w/o CCSBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Post-processed|Investment|Energy Supply|Electricity|Fossil w/o CCS,billion US$2010/yr,112.642821,67.85358115,40.89468757,41.11912314,32.04328154,23.04505571,14.67233477,11.34770034,11.1281408,10.90858126,12.93055462,14.95252797,12.75231082,10.55209366,7.04897788,3.545862096
Post-processed|Investment|Energy Supply|Electricity|Fossil w/o CCSCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Post-processed|Investment|Energy Supply|Electricity|Fossil w/o CCS,billion US$2010/yr,118.466989,90.85577525,65.73496709,46.57013133,30.7547903,22.93332451,21.35509298,22.56265256,29.02263442,35.48261629,37.04403063,38.60544498,31.35112758,24.09681019,17.31166354,10.5265169
Post-processed|Investment|Energy Supply|Electricity|Fossil w/o CCSDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Post-processed|Investment|Energy Supply|Electricity|Fossil w/o CCS,billion US$2010/yr,118.466989,90.85577525,65.20716283,40.62090435,25.56339755,18.02175581,13.97593243,12.95038595,15.51888722,18.08738848,14.30373717,10.52008586,7.183227464,3.846369072,2.0182526,0.190136128
Post-processed|Investment|Energy Supply|Electricity|Fossil w/o CCSFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Post-processed|Investment|Energy Supply|Electricity|Fossil w/o CCS,billion US$2010/yr,118.466989,90.85577525,68.99416821,47.26771616,30.17741518,23.9133253,19.42855006,18.18543877,21.78675957,25.38808037,29.38290998,33.37773958,30.08652018,26.79530078,20.49512035,14.19493992
Post-processed|Investment|Energy Supply|Electricity|Fossil w/o CCSLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Post-processed|Investment|Energy Supply|Electricity|Fossil w/o CCS,billion US$2010/yr,99.04562539,44.06202248,12.90664861,3.874211376,0.701323392,0.197906016,0.23043776,0.464366672,2.20855684,3.952747008,7.950578664,11.94841032,9.231593504,6.514776688,3.404285976,0.293795264
Post-processed|Investment|Energy Supply|Electricity|Fossil w/o CCSNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Post-processed|Investment|Energy Supply|Electricity|Fossil w/o CCS,billion US$2010/yr,110.8872785,74.62105941,43.77715126,35.20752973,25.73869906,22.63810427,19.8071729,19.57905701,26.96648388,34.35391075,39.92606867,45.49822659,40.20011173,34.90199686,22.41858069,9.935164512
Post-processed|Investment|Energy Supply|Electricity|Fossil w/o CCSNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Post-processed|Investment|Energy Supply|Electricity|Fossil w/o CCS,billion US$2010/yr,111.3442855,63.61903834,9.334899952,1.304111312,0.054687024,0.084914368,0.227678528,0.486704064,0.45028396,0.413863856,0.207532024,0.001200192,0.000600096,0,0,0
Post-processed|Investment|Energy Supply|Electricity|Fossil w/o CCS|Average 2016-2030Below 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Post-processed|Investment|Energy Supply|Electricity|Fossil w/o CCS|Average 2016-2030,billion US$2010/yr,109.2911429,109.2911429,,,,,,,,,,,,,,
