Indicator,Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Gross Domestic Product (GDP)(combined)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Gross Domestic Product (GDP)(combined),"% difference,  1995 prices; Real Bn",-5.40,-8.87,-12.22,-14.77,-16.26,-18.08,,,,,,,,,,
Gross Domestic Product (GDP)(combined)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Gross Domestic Product (GDP)(combined),"% difference,  2017 PPP ; US$ Bn",-5.40,-8.87,-12.22,-14.77,-16.26,-18.08,,,,,,,,,,
Gross Domestic Product (GDP)(combined)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Gross Domestic Product (GDP)(combined),"% difference,  1995 prices; Real Bn",-4.58,-7.97,-11.03,-12.59,-12.97,-13.48,,,,,,,,,,
Gross Domestic Product (GDP)(combined)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Gross Domestic Product (GDP)(combined),"% difference,  2017 PPP ; US$ Bn",-4.58,-7.97,-11.03,-12.59,-12.97,-13.48,,,,,,,,,,
Gross Domestic Product (GDP)(physical)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Gross Domestic Product (GDP)(physical),"% difference,  1995 prices; Real Bn",-4.43,-7.59,-10.64,-12.52,-13.26,-13.98,,,,,,,,,,
Gross Domestic Product (GDP)(physical)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Gross Domestic Product (GDP)(physical),"% difference,  2017 PPP ; US$ Bn",-4.43,-7.59,-10.64,-12.52,-13.26,-13.98,,,,,,,,,,
Gross Domestic Product (GDP)(physical)Current PoliciesNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Current Policies,Brazil,Gross Domestic Product (GDP)(physical),"% difference,  1995 prices; Real Bn",-4.57,-7.78,-11.38,-14.61,-17.17,-20.26,,,,,,,,,,
Gross Domestic Product (GDP)(physical)Current PoliciesNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Current Policies,Brazil,Gross Domestic Product (GDP)(physical),"% difference,  2017 PPP ; US$ Bn",-4.57,-7.78,-11.38,-14.61,-17.17,-20.26,,,,,,,,,,
Gross Domestic Product (GDP)(physical)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Gross Domestic Product (GDP)(physical),"% difference,  1995 prices; Real Bn",-4.49,-7.77,-11.27,-13.69,-14.56,-14.97,,,,,,,,,,
Gross Domestic Product (GDP)(physical)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Gross Domestic Product (GDP)(physical),"% difference,  2017 PPP ; US$ Bn",-4.49,-7.77,-11.27,-13.69,-14.56,-14.97,,,,,,,,,,
